model,mode,degradation_pct,label,class_name,precision,recall,f1
ours_p50,mask,50,5,SMB,1.0000,0.1140,0.2047
ours_p50,mask,50,6,Nsis-ay,0.4247,0.8240,0.5605
ours_p50,mask,50,7,Cridex,0.9649,0.8800,0.9205
ours_p50,mask,50,8,Zeus,0.5679,0.8700,0.6872
ours_p50,mask,50,9,Miuref,0.8541,0.7140,0.7778
ours_p50,mask,50,10,MySQL,0.9850,0.6560,0.7875
ours_p50,mask,50,11,Virut,0.5760,0.6900,0.6278
ours_p50,mask,50,12,Weibo,0.3966,0.6940,0.5047
ours_p50,mask,50,13,WorldOfWarcraft,0.7564,0.8820,0.8144
ours_p50,mask,50,14,Outlook,0.6960,0.9660,0.8090
ours_p50,mask,50,15,Facetime,0.9973,0.7280,0.8416
ours_p50,mask,50,16,Tinba,0.9880,0.9900,0.9890
ours_p50,mask,50,17,FTP,1.0000,0.6840,0.8124
ours_p50,mask,50,18,Htbot,0.4281,0.7140,0.5352
ours_p50,mask,50,19,Skype,1.0000,0.8200,0.9011
ours_p50,mask,75,0,Shifu,0.7972,0.8020,0.7996
ours_p50,mask,75,1,Geodo,0.8979,0.5100,0.6505
ours_p50,mask,75,2,BitTorrent,0.9231,0.0240,0.0468
ours_p50,mask,75,3,Gmail,0.9892,0.1840,0.3103
ours_p50,mask,75,4,Neris,0.7310,0.6360,0.6802
ours_p50,mask,75,5,SMB,0.9900,0.1980,0.3300
ours_p50,mask,75,6,Nsis-ay,0.3234,0.7840,0.4579
ours_p50,mask,75,7,Cridex,0.9965,0.5620,0.7187
ours_p50,mask,75,8,Zeus,0.3976,0.7260,0.5138
ours_p50,mask,75,9,Miuref,0.8889,0.7040,0.7857
ours_p50,mask,75,10,MySQL,0.9702,0.7160,0.8239
ours_p50,mask,75,11,Virut,0.5049,0.6140,0.5542
ours_p50,mask,75,12,Weibo,0.2340,0.5400,0.3265
ours_p50,mask,75,13,WorldOfWarcraft,0.7344,0.7080,0.7210
ours_p50,mask,75,14,Outlook,0.9484,0.5880,0.7259
ours_p50,mask,75,15,Facetime,0.9940,0.6620,0.7947
ours_p50,mask,75,16,Tinba,0.9591,0.9840,0.9714
ours_p50,mask,75,17,FTP,0.9697,0.4480,0.6129
ours_p50,mask,75,18,Htbot,0.2094,0.6400,0.3156
ours_p50,mask,75,19,Skype,1.0000,0.4820,0.6505
ours_p50,mask,100,0,Shifu,1.0000,0.9760,0.9879
ours_p50,mask,100,1,Geodo,0.9024,0.5360,0.6725
ours_p50,mask,100,2,BitTorrent,1.0000,0.1640,0.2818
ours_p50,mask,100,3,Gmail,0.9951,0.4080,0.5787
ours_p50,mask,100,4,Neris,0.6553,0.6920,0.6732
ours_p50,mask,100,5,SMB,1.0000,0.3880,0.5591
ours_p50,mask,100,6,Nsis-ay,0.7927,0.9100,0.8473
ours_p50,mask,100,7,Cridex,0.9924,0.2600,0.4120
ours_p50,mask,100,8,Zeus,0.4916,0.7060,0.5796
ours_p50,mask,100,9,Miuref,0.8589,0.7060,0.7750
ours_p50,mask,100,10,MySQL,1.0000,0.6020,0.7516
ours_p50,mask,100,11,Virut,0.5970,0.6340,0.6149
ours_p50,mask,100,12,Weibo,0.3145,0.9920,0.4776
ours_p50,mask,100,13,WorldOfWarcraft,0.9591,0.9860,0.9724
ours_p50,mask,100,14,Outlook,0.5869,1.0000,0.7396
ours_p50,mask,100,15,Facetime,1.0000,0.9820,0.9909
ours_p50,mask,100,16,Tinba,1.0000,0.9900,0.9950
ours_p50,mask,100,17,FTP,1.0000,0.6780,0.8081
ours_p50,mask,100,18,Htbot,0.3995,0.7000,0.5087
ours_p50,mask,100,19,Skype,1.0000,0.7920,0.8839
ours_p50,random,0,0,Shifu,0.9980,1.0000,0.9990
ours_p50,random,0,1,Geodo,0.8806,0.9880,0.9312
ours_p50,random,0,2,BitTorrent,1.0000,1.0000,1.0000
ours_p50,random,0,3,Gmail,1.0000,1.0000,1.0000
ours_p50,random,0,4,Neris,0.8891,0.8660,0.8774
ours_p50,random,0,5,SMB,1.0000,1.0000,1.0000
ours_p50,random,0,6,Nsis-ay,0.9880,0.9840,0.9860
ours_p50,random,0,7,Cridex,0.9978,0.8940,0.9430
ours_p50,random,0,8,Zeus,0.9980,0.9920,0.9950
ours_p50,random,0,9,Miuref,0.8876,0.8840,0.8858
ours_p50,random,0,10,MySQL,1.0000,1.0000,1.0000
ours_p50,random,0,11,Virut,0.8142,0.8500,0.8317
ours_p50,random,0,12,Weibo,1.0000,1.0000,1.0000
ours_p50,random,0,13,WorldOfWarcraft,1.0000,1.0000,1.0000
ours_p50,random,0,14,Outlook,1.0000,1.0000,1.0000
ours_p50,random,0,15,Facetime,1.0000,1.0000,1.0000
ours_p50,random,0,16,Tinba,1.0000,0.9940,0.9970
ours_p50,random,0,17,FTP,1.0000,1.0000,1.0000
ours_p50,random,0,18,Htbot,0.9267,0.9100,0.9183
ours_p50,random,0,19,Skype,1.0000,1.0000,1.0000
ours_p50,random,25,0,Shifu,0.9980,1.0000,0.9990
ours_p50,random,25,1,Geodo,0.9127,0.6900,0.7859
ours_p50,random,25,2,BitTorrent,1.0000,1.0000,1.0000
ours_p50,random,25,3,Gmail,1.0000,1.0000,1.0000
ours_p50,random,25,4,Neris,0.8548,0.8480,0.8514
ours_p50,random,25,5,SMB,1.0000,1.0000,1.0000
ours_p50,random,25,6,Nsis-ay,0.8405,0.9800,0.9049
ours_p50,random,25,7,Cridex,1.0000,0.8940,0.9440
ours_p50,random,25,8,Zeus,0.7011,0.9240,0.7972
ours_p50,random,25,9,Miuref,0.8761,0.7640,0.8162
ours_p50,random,25,10,MySQL,1.0000,1.0000,1.0000
ours_p50,random,25,11,Virut,0.7623,0.8400,0.7992
ours_p50,random,25,12,Weibo,1.0000,1.0000,1.0000
ours_p50,random,25,13,WorldOfWarcraft,1.0000,1.0000,1.0000
ours_p50,random,25,14,Outlook,1.0000,1.0000,1.0000
ours_p50,random,25,15,Facetime,1.0000,1.0000,1.0000
